	Código Proyecto	Foco Apoyo	Tipo Intervención	Instrumento	Instrumento Homologado	Estado Data	Tipo Persona	Rut Beneficiario	Beneficiario	Título	Objetivo	Año Adjudicación	Financiamiento Innova	Aprobado Privado	Aprobado Privado Pecuniario	Monto Certificado Ley	Tipo Innovación	Mercado Objetivo	Criterio Mujer	Género	Sostenible	ODS principal	Meta principal	Economía Circular	Modelo de Circularidad	Región	Tramo Ventas	Inicio Actividad Económica	Sector Económico	Patron principal asociado	Tipo proyecto	R principal	Estrategia R Principal	Ley REP	Ley REP (Sí/No)	ERNC	Tendencia Final
311	24CVC-265007	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	77017433-3	Nanotecnología Chile SPA	Bionanorecubrimiento, elaborado con materias primas de pequeña agricultura, para conservación de calidad de productos agroindustriales	Desarrollar para la agroindustria una innovación en base a un bionanorecubrimiento elaborado con materias primas de la pequeña agricultura y nanomateriales, para la mejora significativa de la conservación de la calidad de postcosecha de paltas y cítricos.	2024.0	190240000	$50.000.000	$26.000.000		Producto	Agrícola (excepto cultivo de uvas)	No	Masculino	No	ODS2				Región de Valparaíso	Pequeña	2019-05-24 00:00:00	Comercio y retail								Materiales Avanzados (Advanced Materials)
314	24CVC-264919	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	76822537-0	Asesorías MTMA SPA	Plataforma de servicio de bioprospección y bioaumentación de microorganismos benéficos para enfrentar el estrés hídrico en paltos.	Desarrollar y validar un servicio tecnológico a medida, de bioprospección y bioacumulación bacteriana, utilizando suelos de la rizosfera de cultivos de palto que permitan mantener su productividad en condiciones de estrés hídrico y/o mejoren la disponibilidad del suelo.	2024.0	152272618	$16.937.981	$1.617.981		Servicio	Agrícola (excepto cultivo de uvas)	Incentivo	Masculino	Sí	ODS13				Región del Biobío	Microempresa	2018-01-18 00:00:00	Banca y sector financiero								Green Technologies (Tecnologías Verdes)
320	24CVC-264745	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	76083764-4	AGRICOLA CASAS VIEJAS LIMITADA	VarroKill: Acaricida mineral natural para el control y mitigación de Varroasis	Desarrollo de un medicamento alternativo natural para Varroasis mediante la acción sinérgica entre compuestos minerales y ácidos orgánicos que permita lograr una eficiencia superior al 90% en el control de ácaros y pueda ser utilizado en distintos apiarios sin afectar los principales productos apícolas (Miel o la Cera) y con foco en mercados de valor agregado (Cosmética, alimentos orgánicos o Farmacéutica)	2024.0	122769255	$14.910.744	$1.710.744		Producto	Ganadero	Incentivo	Masculino	No	ODS2				Región del Maule	Pequeña	2010-01-08 00:00:00	Agrícola (excepto vitivinícola)								Manufactura Avanzada (Advanced Manufacturing)
321	24CVC-264713	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	77491566-4	GEN-CO LTDA	Avanzando hacia una agricultura sostenible: Desarrollo de un sustrato vegetal fibroso y un bioactivador de suelos con enfoque zero waste y valorización de subproductos forestales	Valorizar los subproductos forestales para su uso en la industria agrícola, desarrollando un sustrato fibroso de disponibilidad local, como alternativa sustentable a la turba y fibra de coco y un producto líquido utilizable como activador biológico de suelos.	2024.0	200000000	$50.000.000	$25.000.000		Producto	Agrícola (excepto cultivo de uvas)	No	Masculino	Sí	ODS2				Región del Biobío	Sin ventas	2021-12-13 00:00:00	Comercio y retail								Sin tendencia
322	24CVC-264686	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	76528695-6	B&B ASOCIADOS SpA	EnergySimutren - Simulador de sistema de electromovilidad ferroviaria basado en análisis determinístico y AI, para la optimización dinámica del consumo energético del sistema	Desarrollar y Validar EnergySimutren, Plataforma de software para simulación del sistema de electromovilidad ferroviaria basado en análisis determinístico y AI el cual permite la optimización dinámica del consumo eléctrico maximizando la eficiencia operacional y energética del sistema completo, según las condiciones de despacho que se determinan desde el usuario.	2024.0	219984000	$55.132.000	$27.952.000		Servicio	Logística y Transporte	No	Masculino	Sí	ODS9				Región de Valparaíso	Pequeña	2015-12-31 00:00:00	Servicios de ingeniería o de conocimiento								Manufactura Avanzada (Advanced Manufacturing)
334	24CH-272295	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	78575900-1	Productos del mar y Agrícolas Limitada	Contratación de capacidades técnicas para innovar y desarrollar una nueva línea de negocio en Promagro basada en economía circular	Implementar un proceso de extrusión aplicado a la obtención de una línea de snacks a base de productos del mar y harinas libre de gluten. Lo anterior implica contar con las capacidades profesionales especializadas en el proceso de extrusión, y en adición, contar con conocimiento especializado en tecnología de ingredientes y formulación de alimentos aplicados a la tecnología de extrusión, dado que no es trivial formular proyectos extruidos en función de las características físico - químicas de las materias primas que darán origen al nuevo producto alimenticio.	2024.0	40000000	$10.000.000	$10.000.000			Alimentos (excepto producción de vino y derivados)	Incentivo	Masculino	Sí	ODS14				Región de Valparaíso	Pequeña	1994-11-09 00:00:00	Comercio y retail								Mass customization
341	24CH-272247	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	76110423-3	MARINE FARMS SOCIEDAD ANONIMA	Observación del comportamiento de variables predictoras de calidad de ovas recién fecundadas de Ostra Japonesa, en correlación con variables observables validadoras de calidad en el cultivo de adultos	El objetivo general del proyecto es observar el comportamiento de variables predictoras de calidad de ovas recién fecundadas de Ostra Japonesa, en correlación con variables observables validadoras de calidad en el cultivo de adultos	2024.0	27498790	$21.488.002	$16.688.002			Pesca y acuicultura	No	Masculino	No	ODS12				Región de Valparaíso	Pequeña	2010-09-20 00:00:00	Comercio y retail								Sin tendencia
342	24CH-272240	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	77419201-8	Bioproc SpA	Desarrollo de Biodispositivo Innovador para la Eficiencia en el Tratamiento de RILES en la Agroindustria	Optimizar el diseño, prototipado y desarrollo de biodispositivos para la degradación de contaminantes en RILES agroindustriales, integrando a un profesional en ingeniería mecánica. Esto permitirá mejorar la eficiencia, durabilidad y escalabilidad de los dispositivos, asegurando su funcionalidad en entornos industriales diversos.	2024.0	35640000	$3.960.000	$2.860.000			Agrícola (excepto cultivo de uvas)	Incentivo	Femenino	Sí	ODS7				Región del Biobío	Sin ventas	2021-09-07 00:00:00	Servicios de ingeniería o de conocimiento								Manufactura Avanzada (Advanced Manufacturing)
349	24CH-272172	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	76183870-9	Agricola Izaro Limitada	“Investigación de causas de envejecimiento prematuro de las vides y validación de técnicas regenerativas innovadoras para aumentar el vigor, longevidad de las plantas y la salud del suelo en Casablanca”	Fortalecer las capacidades en I+D+i en Agrícola Ízaro a través de la inserción de un profesional altamente capacitado en agricultura regenerativa con enfoque en la salud de suelo, con el objetivo de investigar e identificar posibles causas adicionales del envejecimiento prematuro de las vides en Casablanca (tradicionalmente atribuidas a las frecuentes heladas y sequías producto de la crisis climática).  Desarrollar y validar técnicas de agricultura regenerativa que promuevan la salud del suelo, mejoren la gestión del agua, fortalezcan la inmunidad y resiliencia de las plantas frente a enfermedades, a las podas frecuentes y a los efectos climáticos, que aporten una solución al desafío de la pérdida de vigor, desde la primera temporada.Investigar el efecto del restablecimiento de la red trófica del suelo en el vigor de las plantas y la producción de uva, tanto en términos de calidad como de cantidad, así como en el control de enfermedades y la formación de la estructura del suelo, para promover la regeneración de este, asegurar la producción de uvas orgánicas de alta calidad y así aumentar la productividad y competitividad de la empresa, permitiendo el acceso a mercados más exigentes.Capacitar al personal de Agrícola Ízaro en soluciones innovadoras para una producción competitiva y libre de agroquímicos y plaguicidas promoviendo la salud del suelo y de los cultivos, así como la sostenibilidad de las buenas prácticas a largo plazo.Dejar instaladas las capacidades para la continuar aplicando las soluciones innovadoras a través de protocolos y manuales.	2024.0	40371808	$17.326.931	$12.542.931			Vitivinícola	Incentivo	Masculino	Sí	ODS2				Región de Valparaíso	Mediana	2004-11-15 00:00:00	Agrícola (excepto vitivinícola)								Green Technologies (Tecnologías Verdes)
353	24CH-270848	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	77094868-1	Anfiteatro SpA	Innovación circular: Convirtiendo el bagazo de cerveza en un recurso alimenticio para múltiples aplicaciones	Generar nuevos productos alimenticios de alto valor agregado a partir del bagazo de cerveza, fortaleciendo así las capacidades en investigación, desarrollo e innovación (I+D+i) de Anfiteatro, con el fin de aumentar la productividad y competitividad de la empresa en el mercado nacional.Este proyecto tiene como objetivo principal desarrollar y lanzar al mercado una línea de productos alimenticios innovadores, utilizando el bagazo de cerveza como ingrediente principal. A través de procesos de investigación y desarrollo, se buscará transformar este subproducto en una materia prima de valor estandarizada y estabilizada nutricional, microbiológica, y sensorialmente, generando productos que satisfagan las demandas de un mercado cada vez más consciente de la sostenibilidad y la alimentación saludable.La generación de estos nuevos productos permitirá a Anfiteatro diversificar su portafolio ampliando su oferta más allá de la cerveza artesanal y posicionándose como una empresa líder en la producción de alimentos innovadores, aumentar sus ingresos capturando nuevos segmentos de mercado y generando mayores ganancias a través de la venta de productos con mayor valor agregado, fortalecer su marca asociando la marca a conceptos como sostenibilidad, innovación y calidad, lo que permitirá diferenciarse de la competencia.Paralelamente, el desarrollo de este proyecto fortalecerá las capacidades en I+D+i de la empresa, a través de la contratación de un profesional altamente cualificado aportando conocimientos especializados en el área de alimentos y biotecnología, lo que permitirá abordar desafíos técnicos complejos y generar soluciones innovadoras, la generación de conocimiento a través de la investigación, se generará nuevo conocimiento sobre las propiedades del bagazo de cerveza y su potencial de aplicación en la industria alimentaria, la creación de una cultura de innovación incentivando la generación de nuevas ideas y la búsqueda de soluciones creativas.	2024.0	40000000	$10.000.000	$10.000.000			Alimentos (excepto producción de vino y derivados)	No	Masculino	Sí	ODS12				Región de Valparaíso	Pequeña	2019-11-23 00:00:00	Comercio y retail								Internet de las Cosas (IoT)
355	24CH-270209	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	76986509-8	Cicla SpA	Crea y Recicla: Upcycling de envases PET	El objetivo principal de este proyecto es desarrollar un proceso integral de upcycling de residuos plásticos, centrándose especí camente en la reutilización de envases PET desechados por las empresas que utilizan PET, generando pellets de alta calidad. Estos pellets no solo servirán como materia prima para la fabricación de nuevos envases y productos similares, sino que también contribuirán signi cativamente al cierre del ciclo de vida de los productos desechables al promover prácticas de economía circular. Para lograr este objetivo, se capitalizará en la experiencia previa de CICLA en el reprocesamiento de PET, destacando su capacidad para desarrollar y optimizar la mecánica de los procesos de reciclaje de plásticos. Sin embargo, el desafío actual radica en estandarizar la calidad y la con abilidad del material a gran escala, avanzando de una etapa de laboratorio (TLE4) a una validación productiva (TLE6), Este paso crucial requiere la contratación de un profesional altamente cali cado y con experiencia en el campo, cuya labor será liderar este esfuerzo y supervisar la ejecución del apartado técnico del proyecto. Al mismo tiempo, este proyecto tiene como objetivo reducir de manera significativa la cantidad de residuos plásticos generados por empresas que utilizan bolsas PET, promoviendo prácticas sostenibles y responsables en toda la cadena de suministro. Esta iniciativa no solo bene ciará al medio ambiente, sino que también contribuirá a mejorar la imagen y reputación de empresas comprometidas con la protección del medio ambiente y el desarrollo sostenible. Por extensión, esto último signi ca una gran vitrina para la misión y propósito de CICLA.	2024.0	36270000	$15.900.000	$8.925.000			Gestión de desechos y Valorización de residuos	No	Masculino	Sí	ODS13				Región del Biobío	Pequeña	2019-02-19 00:00:00	Otras industrias manufactureras								Manufactura Avanzada (Advanced Manufacturing)
358	24CH-269712	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	77511957-8	BIMODAL CONSULTORES SpA	Conteo de flujo vehicular y peatonal y optimización de semáforos mediante el reconocimiento de imágenes utilizando Inteligencia Artificial	Desarrollar una inteligencia artificial, que permita contar vehículos y peatones en una intersección oarco, agrupados por movimientos, tipo de vehículo y peatones a través de la utilizaron de videos,grabados mediante cámaras. En el caso de intersecciones reguladas por semáforo, se entregará unaprogramación que minimice las demoras de vehículos y peatones.	2024.0	26786000	$6.770.000	$6.770.000			Logística y Transporte	No	Masculino	No	ODS11				Región de Ñuble	Microempresa	2022-01-20 00:00:00	Servicios de ingeniería o de conocimiento								Inteligencia Artificial (IA)
360	24CH-265927	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	76918727-8	Bioproductos Nutritivos Ltda	Espirulina en Gomitas Nutritivas y Funcionales	Elaborar espirulina en gomitas como un suplemento nutricional funcional de fácil consumo, libre de azúcares y gluten, con alto porcentaje proteínico, fibra dietaria, vitaminas, minerales, ácidos grasos saludables y aminoácidos que colaboran en la salud de niños, adultos mayores, veganos, deportistas y personas en general, que buscan consumir alimentos funcionales como la espirulina, que beneficia la salud y energía de las personas.	2024.0	44825170	$10.064.000	$5.064.000			Alimentos (excepto producción de vino y derivados)	Incentivo	Femenino	No	ODS2				Región del Biobío	Microempresa	2018-09-20 00:00:00	Pesca y acuicultura								Manufactura Avanzada (Advanced Manufacturing)
365	24CH-264389	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	77017433-3	Nanotecnología Chile SPA	Elogium N-191187, Un Aditivo Antimicrobiano Innovador para la Industria del Plástico	Fortalecer las capacidades de I+D de la empresa NanoTC mediante la contratación de un profesional especializado, quien ejecutará el desarrollo y validación del producto Elogium N-191187 desde un nivel de maduración tecnológica TRL 6 a TRL 8 preparando el producto con lo necesario para su futura entrada al mercado.	2024.0	39026475	$5.723.525	923.525			Química, caucho y plásticos (excepto industria farmacéutica)	Incentivo	Masculino	No	ODS9				Región de Valparaíso	Pequeña	2019-05-24 00:00:00	Comercio y retail								Sin tendencia
367	24CH-264207	Renuévate	Subsidio	Capital Humano Experto	Capital Humano Experto	VIGENTE	Persona Jurídica constituida en Chile	76298738-4	VIDAL Y URRUTIA LIMITADA	Elaboración de un bioproducto de bacterias probióticas en estado sólido para el control de la Flavobacteriosis en salmones.	Fortalecer las capacidades en I+D+i de ECOMBIO LIMITADA mediante la incorporación de un profesional altamente calificado para desarrollar un bioproducto innovador de bacterias probióticas en estado sólido que promueva la salud de los salmones, contribuyendo al desarrollo sostenible de la acuicultura nacional	2024.0	43623782	$5.134.217	130.217			Pesca y acuicultura	Incentivo	Masculino	Sí	ODS5				Región del Biobío	Pequeña	2013-10-01 00:00:00	Servicios de ingeniería o de conocimiento								Sin tendencia
372	23SNM-253213	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	VIGENTE	Persona Jurídica constituida en Chile	76834447-7	AYUN ALUMCO CHILE SPA	Desarrollo de un helado vegano rico en proteínas elaborado a base de frutas y hierbas medicinales	Desarrollar un helado vegano rico en proteínas elaborado en a base de frutas y hierbas medicinales	2024.0	8811000	979	0		Producto	Alimentos (excepto producción de vino y derivados)	Convocatoria	Femenino	No	ODS2				Región del Maule	Microempresa	2018-02-27 00:00:00	Alimentos (excepto vitivinícola)								Sin tendencia
375	23SNM-253198	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	VIGENTE	Persona Jurídica constituida en Chile	76244632-4	Inversiones Agrícola de la Provincia Ltda	Evaluación de tecnologías de deshidratación para el desarrollo de un snack saludable, crocante y condimentado a base de brócoli	Evaluar de tecnologías de deshidratación para el desarrollo de un snack saludable, crocante y condimentado a base de brócoli	2024.0	9453782	$1.050.420	$1.050.420		Producto	Alimentos (excepto producción de vino y derivados)	Convocatoria	Masculino	No	ODS2				Región del Maule	Microempresa	2013-02-05 00:00:00	Agrícola (excepto vitivinícola)								Sin tendencia
377	23SNM-253193	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	VIGENTE	Persona Jurídica constituida en Chile	77374355-k	Terracell SPA	Desarrollo y validación de un suplemento alimenticio potenciador del sistema inmune, rico en betaglucanos, a partir de hongo cola de pavo (Trametes versicolor)	Desarrollar y validar un suplemento alimenticio a partir de hongo cola de pavo (Trametes versicolor) rico en fibra y potenciador del sistema inmune.	2024.0	10000000	$1.111.202	$1.111.202		Producto	Alimentos (excepto producción de vino y derivados)	Convocatoria	Femenino	No	ODS2				Región del Maule	Microempresa	2021-06-01 00:00:00	Comercio y retail								Sin tendencia
383	23SNM-253097	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	VIGENTE	Persona Jurídica constituida en Chile	77052189-0	Vida Savia SpA	Desarrollo de cápsulas con alto valor nutricional a partir de blend en polvo de vísceras bovinas provenientes de ganadería regenerativa	Desarrollar cápsulas con alto valor nutricional a partir de blend en polvo de vísceras bovinas provenientes de ganadería regenerativa	2024.0	11223000	$1.247.000	$1.247.000		Producto	Alimentos (excepto producción de vino y derivados)	Convocatoria	Masculino	Sí	ODS3				Región del Maule	Microempresa	2019-08-07 00:00:00	Alimentos (excepto vitivinícola)								Sin tendencia
392	PI-5624	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	90227000-0	VIÑA CONCHA Y TORO S.A	Captura de carbono en viñedos: Estrategia de manejo de vides para adaptación y mitigación al cambio climático	Información no pública	2023.0	0			$463.949.297	Proceso	Vitivinícola	No	Femenino	Sí					Región del Maule	Grande	1993-01-01 00:00:00	Vitivinícola								Green Technologies (Tecnologías Verdes)
393	PI-5610	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76289699-0	American Bioprocess Limitada	Planta multiproducto destinada a la producción de extractos ricos en polifenoles para la formulación de nutracéuticos e ingredientes para alimentación animal.	Información no pública	2023.0	0			$1.414.907.983	Proceso	Otras industrias manufactureras	No	Masculino	No					Región de Valparaíso	Grande	2013-07-21 00:00:00	Comercio y retail								Química Verde (Green Chemestry)
394	PI-5604	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76062197-8	FERTILIZANTES DEL PACIFICO S.A.	Portafolio de nuevos bioinsumos agrícolas FERPAC	Información no pública	2023.0	0			$514.603.849	Producto	Agrícola (excepto cultivo de uvas)	No	Femenino	No					Región de Valparaíso	Grande	2009-07-07 00:00:00	Química, caucho y plásticos (excepto industria farmacéutica)								Biotecnología
395	PI-5601	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76788080-4	GNL QUINTERO S.A.	I+D para la producción de Hidrógeno Verde en la Bahía de Quintero	Información no pública	2023.0	0			$51.422.315.486	Proceso	Energético	No	Masculino	Sí					Región de Valparaíso	Grande	2007-03-16 00:00:00	Energético								Clean Energy Technologies
435	PI-5331	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96721370-5	XILEMA SPA	Sistema mecanizado para el proceso de producción de huevos de Ephestia kuehniella.	Información no pública	2023.0	0			$143.362.619	Proceso	Agrícola (excepto cultivo de uvas)	No	Femenino	Sí					Región de Valparaíso	Pequeña	1995-01-06 00:00:00	Agrícola (excepto vitivinícola)								Manufactura Avanzada (Advanced Manufacturing)
443	PI-5310	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96718010-6	Bío Bío Cementos S.A.	Desarrollo de proceso de valorización energética de residuos sólidos en producción de Clinker	Información no pública	2023.0	0			$1.982.992.019	Proceso	Construcción	No	Masculino	Sí					Región del Maule	Grande	1994-12-06 00:00:00	Manufactura de no metálicos								Manufactura Avanzada (Advanced Manufacturing)
445	PI-5283	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96591040-9	EMPRESAS CAROZZI S.A.	Desarrollo de un nuevo producto en polvo enriquecido con alto contenido de ácido gama aminobutírico (GABA), elaborado a partir de la valorización de descartes del proceso productivo (tomates maduros/inmaduros) de la planta agroindustrial Agrozzi	Información no pública	2023.0	0			$25.982.530	Producto	Alimentos (excepto producción de vino y derivados)	No	Masculino	Sí					Región del Maule	Grande	1993-01-01 00:00:00	Alimentos (excepto vitivinícola)								Alimentos Funcionales
447	PI-5281	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76972567-9	AGRICOLA SUTIL S.A.	Agrícola Sutil I+D Eficiencia Hídrica	Información no pública	2023.0	0			$202.173.630	Proceso	Agrícola (excepto cultivo de uvas)	No	Masculino	Sí					Región de Ñuble	Grande	2019-01-14 00:00:00	Agrícola (excepto vitivinícola)								Biotecnología
448	PI-5255	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	76181614-4	REE UNO SPA	I+D de nuevo sistema modular de procesamiento de Tierras Raras en circuito cerrado	Información no pública	2023.0	0			$5.234.158.745	Proceso	Minería y metalurgia extractiva	No	Masculino	Sí					Región del Biobío	Grande	2011-12-19 00:00:00	Minería y metalurgia extractiva								Green Technologies (Tecnologías Verdes)
453	PI-5239	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	96568740-8	GASCO GLP S A	Diseño e implementación de una estrategia de optimización energética de procesos de escaldado mediante la recuperación de calor de sistemas de refrigeración	Información no pública	2023.0	0			$722.656.048	Proceso	Energético	No	Masculino	Sí					Región del Maule	Grande	1993-01-01 00:00:00	Energético								Manufactura Avanzada (Advanced Manufacturing)
456	PI-5217	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	78295150-5	AGRICOLA LLAHUEN S.A.	CENTRO DE INVESTIGACIÓN E INNOVACIÓN DE LA FRUTILLA	Información no pública	2023.0	0			$3.505.174.240	Proceso	Agrícola (excepto cultivo de uvas)	No	Masculino	No					Región del Maule	Grande	1993-04-28 00:00:00	Agrícola (excepto vitivinícola)								Sin tendencia
460	PI-5181	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	83693800-3	MONSANTO CHILE  S.A.	Desarrollo de protocolos de manejo de cultivos para optimizar la producción de semillas de pimiento.	Información no pública	2023.0	0			$353.000.823	Proceso	Agrícola (excepto cultivo de uvas)	No	Masculino	Sí					Región de Valparaíso	Grande	1993-01-01 00:00:00	Agrícola (excepto vitivinícola)								Manufactura Avanzada (Advanced Manufacturing)
463	PI-5161	Desarrolla innovación con I+D	Ley	Ley I+D	Ley I+D	VIGENTE	PERSONA JURIDICA COMERCIAL	89688800-5	KNOP LABORATORIOS S A	Nuevos desarrollos farmacéuticos y analíticos para seis productos fitoterápicos, que permitan mejorar significativamente su estabilidad y procesos productivos, para su exportación al mercado latinoamericano	Información no pública	2023.0	0			$2.061.495.593	Proceso	Salud y Farmacéutica (en humanos)	No	Masculino	No					Región de Valparaíso	Grande	1993-01-01 00:00:00	Farmacéutica								Sin tendencia
470	23SN-242058	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	FINALIZADO	Persona Jurídica constituida en Chile	76228136-8	Tecagromed SpA	TECFILMS: Desarrollo de un biomaterial en formato films para mulch de acolchado agrícola	Desarrollar, caracterizar y evaluar un prototipo de mulch biodegradable/compostable para ser empleado como acolchado agrícola en cultivos de plantaciones.	2023.0	9880000	$2.920.000	$2.920.000		Servicio	Agrícola (excepto cultivo de uvas)	No	Masculino	Sí	ODS12	2.2	Sí	Suministro Circular	Región del Biobío	Pequeña	2012-11-20 00:00:00	Comercio y retail	Intercambiar	Economía Circular	R2 Reducir	Uso y fabricación de productos más inteligentes	No			Química Verde (Green Chemestry)
471	23SN-242042	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	FINALIZADO	Persona Jurídica constituida en Chile	77618332-6	Green Focus Solutions SpA	Kit molecular para la identificación rápida de Oídio (Erysiphe necator) en cultivos de Uva	Desarrollar un kit molecular con la capacidad de identificar en terreno la presencia de Oídio (Erysiphe necator) en cultivos de uva.	2023.0	11195040	$1.254.960	$1.254.960		Producto	Vitivinícola	Incentivo	Femenino	Sí	ODS2	2.4	No		Región del Biobío	Microempresa	2022-12-08 00:00:00	Biotecnológico		Producción Sostenible			No			Nanotecnología
472	23SN-242041	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	VIGENTE	Persona Jurídica constituida en Chile	77704466-4	Zeroglut SpA	Evaluación de tecnologías de envasado para incrementar el tiempo de vida útil de un pan sin gluten	Evaluar la aplicación de tecnologías de envasado para incrementar el tiempo de vida útil de un pan sin gluten.	2023.0	6897288	$1.724.322	$1.724.322		Proceso	Alimentos (excepto producción de vino y derivados)	No	Masculino	Sí	ODS12	12.3	Sí	Extensión de Ciclo de Vida de Productos	Región del Maule	Microempresa	2023-02-21 00:00:00	Alimentos (excepto vitivinícola)	Remanufacturar	Economía Circular	R6 Remanufacturar	Extensión de vida útil del producto y sus partes	No			Sin tendencia
473	23SN-242036	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	VIGENTE	Persona Jurídica constituida en Chile	77147033-5	La mar spa	Desarrollo de un pastel de jaibas listo para consumir proveniente de la región de Tarapacá.	Diseñar y validar un proceso tecnológico para generar un pastel de jaibas inocuo, de vida útil prolongada y que conserve las características organolépticas del producto fresco; que permita a la empresa ampliar su línea de negocios y dar un nuevo valor a productos de origen marino de la región de Tarapacá	2023.0	11250000	$1.250.000	$1.250.000		Producto	Comercio y retail	Incentivo	Femenino	Sí	ODS12	12.3	Sí	Extensión de Ciclo de Vida de Productos	Región de Valparaíso	Microempresa	2020-04-23 00:00:00	Comercio y retail	Remanufacturar	Economía Circular	R6 Remanufacturar	Extensión de vida útil del producto y sus partes	No			Sin tendencia
474	23SN-242035	Renuévate	Subsidio	Súmate a Innovar	Súmate a Innovar	VIGENTE	Persona Jurídica constituida en Chile	76882102-K	Creatiox Lab educación e innovación SPA	Alkueli, Conectando tus sentidos	Desarrollar un sistema innovador, único en el mercado como respuesta a necesidades del área de salud de rehabilitación integral en población infantil con trastornos neurológicos y del neurodesarrollo mediante una solución sustentada en la integración de Plataforma web, App móvil y dispositivos de apoyo terapéutico; y de esta manera crear un valor agregado al trabajo desarrollado por profesionales de esta área en materia de organización y centralización de información, integración familiar y herramientas didácticas y tecnológicas que permitan automatizar procesos durante el desarrollo de las sesiones terapéuticas. Todo esto a través de colaboración con entidades especialistas en materias técnicas y comerciales.	2023.0	10000000	$2.500.000	$2.500.000		Proceso	Salud y Farmacéutica (en humanos)	No	Femenino	Sí	ODS3	3.4	No		Región de Valparaíso	Microempresa	2019-05-30 00:00:00	Educación		Producción Sostenible			No			Sin tendencia
